City,neighbourhood,area,MLS_num,Price,Address,Bedrooms,Bathrooms,Parking,Size,Brokerage,floorNum,dateListed
Toronto,Downtown,Alexandra Park,C5460672,2700,1001 - 519 Dundas St W,2+1,1,1,800-899,"HOMELIFE BEST-SELLER REALTY INC., BROKERAGE",1001,2021-12-23
Toronto,Downtown,Alexandra Park,C5454598,2050,912 - 10 Willison Sq,1+1,1,0,500-599,"BAY STREET GROUP INC., BROKERAGE",912,2021-12-11
Toronto,Downtown,Alexandra Park,C5450179,3300,TH28 - 78 Carr St,2,2,1,900-999,"CITYSCAPE REAL ESTATE LTD., BROKERAGE",TH28,2021-12-06
Toronto,Downtown,Annex - U of T,C5461865,2900,508 - 284 Bloor St W,2,1,0,700-799,"CENTURY 21 LEADING EDGE REALTY INC., BROKERAGE",508,2021-12-29
Toronto,Downtown,Annex - U of T,C5461004,2750,201 - 74 Spadina Rd,2,1,1,800-899,"UNION REALTY BROKERAGE INC., BROKERAGE",201,2021-12-25
Toronto,Downtown,Annex - U of T,C5458898,1550,804 - 44 Walmer Rd,Studio,1,0,0-499,"HAZELTON REAL ESTATE INC., BROKERAGE",804,2021-12-19
Toronto,Downtown,Annex - U of T,C5455829,2750,813 - 95 Prince Arthur Ave,1,1,1,800-899,"SAGE REAL ESTATE LIMITED, BROKERAGE",813,2021-12-13
Toronto,Downtown,Annex - U of T,C5455135,2550,Unit 1 - 180 Madison Ave,1,1,1,0,"SUTTON GROUP OLD MILL REALTY INC., BROKERAGE",Unit,2021-12-12
Toronto,Downtown,Annex - U of T,C5453540,2200,804 - 284 Bloor St W,1+1,1,0,600-699,"KELLER WILLIAMS REFERRED URBAN REALTY, BROKERAGE",804,2021-12-09
Toronto,Downtown,Annex - U of T,C5450110,1450,1304 - 720 Spadina Ave,Studio,1,0,0-499,"EXPRESS REALTY INC., BROKERAGE",1304,2021-12-06
Toronto,Downtown,Annex - U of T,C5449923,3395,7 - 473 Dupont St,2,2,1,"1,600-1,799","RE/MAX HALLMARK BIBBY GROUP REALTY, BROKERAGE",7,2021-12-05
Toronto,Downtown,Annex - U of T,C5449031,2200,206 - 26 Olive Ave,1+1,1,1,600-699,"CENTURY 21 REGAL REALTY INC., BROKERAGE",206,2021-12-03
Toronto,Downtown,Annex - U of T,C5448164,3000,102 - 11 Christie St,2,2,1,900-999,"RIGHT AT HOME REALTY INC., BROKERAGE",102,2021-12-02
Toronto,Downtown,Annex - U of T,C5445308,1875,Lower - 48 Follis Ave,2,1,0,0,"SUTTON GROUP-ASSOCIATES REALTY INC., BROKERAGE",Lower,2021-11-30
Toronto,Downtown,Annex - U of T,C5445760,2250,01 - 28 Madison Ave,1,1,0,700-799,"REVOLUTION REALTY INC., BROKERAGE",01,2021-11-28
Toronto,Downtown,Annex - U of T,C5439906,3900,708 - 783 Bathurst St,2,2,1,800-899,"ROYAL LEPAGE REAL ESTATE SERVICES LTD., BROKERAGE",708,2021-11-22
